"BSAs","AlleleFrequency.mean","AlleleFrequency.median"
"C37.M11.D10.filter",0.778375859762683,0.78
"C37.M11.D21.filter",0.631059276175924,0.63
"C37.M11.D3.filter",0.809945185797971,0.81
"C37.M21.D10.filter",0.823809505779427,0.83
"C37.M21.D21.filter",0.672457672618785,0.67
"C37.M21.D3.filter",0.851538952149179,0.859824561403509
"C39.M11.D10.filter",0.803642425885303,0.81
"C39.M11.D21.filter",0.539295169211379,0.79
"C39.M11.D3.filter",0.857446244026241,0.86
"C39.M21.D10.filter",0.878721122397741,0.89
"C39.M21.D21.filter",0.617753573006917,0.7
"C39.M21.D3.filter",0.879618998569763,0.88
"D.M11.T10.filter",0.845407932549686,0.85
"D.M11.T2.filter",0.90627150482831,0.91
"D.M11.T5.filter",0.916071428571429,0.95
"D.M11.T8.filter",0.890060627957304,0.9
"D.M21.T10.filter",0.835507066239793,0.84
"D.M21.T2.filter",0.910321485565317,0.91
"D.M21.T5.filter",0.905974855275874,0.91
"D.M21.T8.filter",0.892215132042311,0.9
"FG.BC.0196.filter",0.542404670218133,0.53
"FG.BC.0197.filter",0.552209951897621,0.55
"FG.BC.0198.filter",0.522658428702582,0.52
"FG.BC.0199.filter",0.558807644128308,0.55
"FG.BC.0200.filter",0.523275662125116,0.52
"FG.BC.0201.filter",0.545052001072662,0.54
"FG.BC.0202.filter",0.501419465009992,0.5
"FG.BC.0203.filter",0.516433671451263,0.51
"FG.BC.0204.filter",0.512784477577468,0.51
"FG.BC.0207.filter",0.48795913984514,0.48
"FG.BC.0210.filter",0.489443495005993,0.48
"FG.BC.0213.filter",0.532360941851384,0.53
"FG.BC.0216.filter",0.506014254062138,0.5
"FG.BC.0219.filter",0.508577897121687,0.5
"FG.BC.0222.filter",0.505564305416693,0.5
"FG.BC.0225.filter",0.512335194745874,0.51
"FG.BC.0228.filter",0.536723062001137,0.53
"FG.BC.0231.filter",0.519237330212814,0.51
"FG.BC.0234.filter",0.546659911326763,0.55
"FG.BC.0240.filter",0.502732227169315,0.5
"FG.BC.0243.filter",0.504897183111308,0.5
"FG.BC.0246.filter",0.506667667209004,0.5
"FG.BC.0249.filter",0.520244435171684,0.52
"FG.BC.0252.filter",0.518538445288085,0.51
"FG.BC.0255.filter",0.517318741215201,0.51
"FG.BC.0258.filter",0.506008437808864,0.5
"FG.BC.0261.filter",0.481881383326207,0.47
"FG.BC.0264.filter",0.432788692698566,0.44
"FG.BC.0267.filter",0.420409590329135,0.42
"FG.BC.0270.filter",0.526928195501781,0.52
"FG.BC.0273.filter",0.474587620193738,0.47
"FG.BC.0276.filter",0.431115721889939,0.43
"FG.BC.0279.filter",0.423096688192671,0.43
