task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	f0/ab8abe	2926469	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes_with_empty_tid.gtf.gz)	COMPLETED	0	2026-09-14 11:28:48.101	543ms	52ms	63.5%	3.5 MB	4.6 MB	126.4 KB	200.3 KB
1	30/af5f33	2926476	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz)	COMPLETED	0	2026-09-14 11:28:48.125	524ms	50ms	65.6%	3.5 MB	4.6 MB	116.4 KB	1.4 KB
6	67/751bf5	2926482	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:28:48.139	524ms	0ms	64.3%	5 MB	10.2 MB	2.3 MB	1.3 KB
3	5f/774687	2926471	NFCORE_RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz)	COMPLETED	0	2026-09-14 11:28:48.115	724ms	192ms	32.7%	3.5 MB	4.6 MB	3.3 MB	2.5 MB
7	f5/3f290e	2926562	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:28:48.232	607ms	0ms	76.9%	7 MB	10.3 MB	6.6 MB	1.7 KB
8	4b/6a963e	2927344	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:CAT_FASTQ (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:28:48.673	459ms	78ms	47.6%	3.4 MB	4.6 MB	4.4 MB	4.3 MB
4	2b/8c0112	2927351	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:CAT_FASTQ (WT_REP1)	COMPLETED	0	2026-09-14 11:28:48.684	509ms	100ms	50.5%	3.3 MB	4.6 MB	8.5 MB	8.4 MB
5	a6/d309b0	2927340	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (WT_REP2)	COMPLETED	0	2026-09-14 11:28:48.658	598ms	1s	83.5%	8.5 MB	33.4 MB	6.3 MB	1.7 KB
14	fc/52ef73	2928184	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:28:49.265	435ms	0ms	87.2%	3.2 MB	4.3 MB	4.4 MB	1.3 KB
9	01/951cc7	2928002	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GTFFILTER (genes_with_empty_tid.filtered)	COMPLETED	0	2026-09-14 11:28:49.142	677ms	0ms	31.3%	192 KB	4.2 MB	1.6 MB	199.6 KB
15	23/2d2aa6	2928660	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (WT_REP1)	COMPLETED	0	2026-09-14 11:28:49.710	769ms	1s	79.1%	3.1 MB	4.3 MB	12.8 MB	1.7 KB
12	6c/3b53c0	2928012	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:28:49.158	5.3s	5s	149.3%	287.8 MB	15.4 GB	16.4 MB	3.5 MB
11	d7/498b87	2927587	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:28:48.869	5.6s	5s	100.9%	243.2 MB	15.4 GB	13.1 MB	1.8 MB
17	cd/0951fd	2928748	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_REP2)	COMPLETED	0	2026-09-14 11:28:49.829	5.1s	4s	160.5%	279.9 MB	15.4 GB	16 MB	3.5 MB
20	c6/67252b	2930110	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_CATADDITIONALFASTA (genome_transcriptome)	COMPLETED	0	2026-09-14 11:28:54.440	598ms	1s	35.6%	4 KB	6.8 MB	1.4 MB	429.7 KB
18	65/d33c04	2929127	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:28:50.497	5.3s	5s	113.8%	263.7 MB	15.4 GB	15.2 MB	1.8 MB
