"","chr","pos","lod"
"M1","1",0,0.0214890459998003
"M2","1",2.452,0.0081854528337999
"M3","1",5.221,0.00229173585213971
"M4","1",6.061,0.00627700291060762
"M5","1",9.83,0.0364894721036961
"M6","1",11.597,0.00558551993898959
"M7","1",14.224,0.0375933459466609
"M8","1",16.528,0.00439888136817501
"M9","1",19.487,0.10932617444692
"M10","1",20.476,0.141492406735949
"M11","1",22.88,0.0391681011229679
"M12","1",25.761,0.00355189455757454
"M13","1",28.056,0.016860775750061
"M14","1",28.809,0.0374558088838484
"M15","1",29.834,0.00924041123623454
"M16","1",29.933,0.0168379690591109
"M17","1",32.013,0.0168057725604314
"M18","1",32.014,0.0168006849796996
"M19","1",33.284,0.0361766316786856
"M20","1",35.883,0.0131576877146529
"M21","1",38.876,0.0649928793644392
"M22","2",0,0.333391707111033
"M23","2",3.09,0.114778695307805
"M24","2",5.702,0.0643572542819868
"M25","2",6.409,0.0631651060249396
"M26","2",7.342,0.0771823270098793
"M27","2",10.222,0.108310499691797
"M28","2",10.25,0.111520037445132
"M29","2",11.281,0.00162640214905707
"M30","2",14.023,0.0533783558750542
"M31","2",16.932,0.139223771238719
"M32","2",19.656,0.0891978846080832
"M33","2",22.578,0.0254531919726873
"M34","2",22.7,0.0362395204797252
"M35","2",24.784,0.0121613810418637
"M36","2",26.62,0.0180885218176883
"M37","2",26.726,0.0160067455449138
"M38","2",28.015,0.0520016025135845
"M39","2",30.168,0.0426321135477821
"M40","2",32.541,0.0202189828252131
"M41","2",33.23,0.0345586944526133
"M42","2",36.001,2.76025077141639e-05
"M43","2",38.669,0.00215230647664555
"M44","2",41.613,0.00148645827032112
"M45","2",44.554,0.0338093053987478
"M46","2",47.49,0.0061134211449172
"M47","2",53.096,0.0114850880672606
"M48","2",56.08,0.000921582258470721
"M49","2",58.986,0.00771625729815639
"M50","3",0,0.297601782887583
"M51","3",2.952,0.534284979716588
"M52","3",3.133,0.504597701717842
"M53","3",6.987,0.358072122957637
"M54","3",9.674,0.528734747153521
"M55","3",15.917,0.422287662127331
"M56","3",18.121,0.261742033971331
"M57","3",18.884,0.3616149677934
"M58","3",20.037,0.314034450273027
"M59","3",21.642,0.205648281602421
"M60","3",23.699,0.158038388650965
"M61","3",23.867,0.0710472376175488
"M62","3",26.122,0.0782122517480985
"M63","3",26.71,0.100796715550985
"M64","3",29.542,0.202770629660364
"M65","3",30.506,0.0928019208816835
"M66","3",31.03,0.0990304637132056
"M67","3",33.06,0.051994887451599
"M68","3",34.991,0.226844394507367
"M69","3",37.333,0.383211222062258
"M70","3",39.33,0.55939023117898
"M71","3",41.928,0.114304670878496
"M72","3",44.565,0.0878916456437793
"M73","3",44.746,0.0980232177498834
"M74","3",47.072,0.0554138382521074
"M75","3",48.501,0.0960892993451381
"M76","3",51.048,0.222165731369088
"M77","3",53.747,0.209754415498196
"M78","3",55.879,0.24444776376393
"M79","3",56.477,0.806175413577932
"M80","4",0,0.465695697394963
"M81","4",3.2,0.520471630366742
"M82","4",6.378,0.166384420876383
"M83","4",9.724,0.083717022913774
"M84","4",10.901,0.0529028612004083
"M85","4",11.293,0.0261042265664884
"M86","4",14.304,0.131990410633179
"M87","4",15.131,0.609230285012302
"M88","4",16.561,0.422474471064092
"M89","4",18.508,0.32285088463459
"M90","4",20.604,0.501643445791174
"M91","4",22.267,0.11643273368729
"M92","4",22.977,0.0891447670343837
"M93","4",25.482,0.0681720310967791
"M94","4",27.371,0.154843088045013
"M95","4",30.189,0.228178682759534
"M96","4",31.889,0.221590152973931
"M97","4",33.608,0.110629532472416
"M98","4",34.942,0.0925598538737944
"M99","4",36.921,0.0925460914805285
"M100","4",38.341,0.0300374134037042
"M101","4",40.533,0.00806584434459978
"M102","4",42.671,0.0013647497226259
"M103","4",44.474,0.0102802815214886
"M104","4",46.186,0.000803293430564622
"M105","4",47.641,0.00982133301842225
"M106","4",48.558,0.0558381738572251
"M107","4",51.894,0.0106208289174106
"M108","4",55.294,0.0019425197041727
"M109","4",55.6,0.000733042268350914
"M110","4",58.579,0.0156866299657281
"M111","4",61.585,2.2258614322368e-05
"M112","4",64.636,0.00264452986967001
"M113","5",0,0.360623471133408
"M114","5",1.281,0.412290640496352
"M115","5",3.628,0.542168849128544
"M116","5",5.554,0.363455549355137
"M117","5",7.467,0.547948013974661
"M118","5",8.129,0.361682573746819
"M119","5",9.474,0.830510871205448
"M120","5",11.381,1.13510281527557
"M121","5",13.432,0.848621097614185
"M122","5",13.79,0.927512787827666
"M123","5",15.89,1.13349239529893
"M124","5",17.181,0.562255137795319
"M125","5",18.186,0.314354812828682
"M126","5",20.83,0.144478266654659
"M127","5",23.652,0.000390209460945812
"M128","5",26.369,0.000183034955057337
"M129","5",28.838,0.0132029104853899
"M130","5",30.374,0.000297752819932384
"M131","5",33.517,0.0106089916418881
"M132","5",36.682,0.0404714762537708
"M133","5",39.08,0.0664886106776805
"M134","5",41.387,0.0358603270670983
"M135","5",43.908,0.0472611173298247
"M136","5",46.474,0.110907378903789
"M137","5",48.796,0.00481456406291159
"M138","5",54.847,0.161655119429653
"M139","5",56.289,0.120925188013175
"M140","5",62.304,0.0314629806281204
"M141","5",65.208,0.0259771813829417
"M142","5",70.417,0.0824654933717426
"M143","5",73.491,0.00643417367676591
"M144","5",74.797,0.00986914186381682
"M145","5",75.157,0.0064343244995797
"M146","5",78.135,0.00278103788215844
"M147","6",0,0.257642617687623
"M148","6",3.256,0.41502833551516
"M149","6",6.343,0.621997706036765
"M150","6",8.134,0.428372656346852
"M151","6",10.514,0.626543599342753
"M152","6",13.213,0.441629044196972
"M153","6",16.14,0.612182648962133
"M154","6",17.823,0.806822527749517
"M155","6",19.895,0.760505653023131
"M156","6",20.705,0.902275967424472
"M157","6",21.576,0.902285382619368
"M158","6",24.179,0.747099050073928
"M159","6",26.096,0.991498321444141
"M160","6",28.129,1.30346457148322
"M161","6",31.351,1.39625810972929
"M162","6",31.728,1.62994372669516
"M163","6",33.045,1.29668807548367
"M164","6",34.582,0.643518359231834
"M165","6",35.076,0.967367335633043
"M166","6",36.724,1.25847280834698
"M167","6",37.953,1.48477705166992
"M168","6",40.73,1.34997422646344
"M169","6",42.179,1.08263396543951
"M170","6",43.232,0.829032960091652
"M171","6",45.31,0.753310500283348
"M172","6",47.027,0.96842361791974
"M173","6",47.708,1.01172316868271
"M174","6",47.917,1.13600079333763
"M175","6",50.35,1.32379773631273
"M176","6",52.714,1.13222562191991
"M177","6",54.047,0.841539655435142
"M178","6",54.3,0.854978138458293
"M179","6",57.349,0.888346617098946
"M180","6",58.862,1.3032593413768
"M181","6",61.195,1.62951090044557
"M182","6",63.056,1.99774985626675
"M183","6",64.2,1.46913800874525
"M184","6",67.14,1.12303937388334
"M185","6",68.521,1.01156588483352
"M186","6",72.874,1.81629553223765
"M187","6",76.448,1.43004514595653
"M188","6",76.571,1.43004579412906
"M189","6",79.253,1.82680390356958
"M190","6",82.484,1.03285383654298
"M191","7",0,4.02621706193271
"M192","7",3.52,4.53200645235874
"M193","7",3.569,4.31791248334427
"M194","7",6.458,5.38178042590864
"M195","7",7.366,6.83002951109266
"M196","7",9.106,5.75284431391985
"M197","7",9.541,4.37306169834655
"M198","7",12.336,5.977148488456
"M199","7",14.689,6.16408050142113
"M200","7",16.774,7.45124918023174
"M201","7",19.512,7.92684367414505
"M202","7",21.807,9.66499026748083
"M203","7",22.795,8.59546472422036
"M204","7",24.628,8.88185190291472
"M205","7",27.433,7.2071317755879
"M206","7",30.439,4.7098703928567
"M207","7",32.074,4.64815287957516
"M208","7",35.18,4.55953876264464
"M209","7",38.115,4.25274498046565
"M210","7",38.736,4.2279362580541
"M211","7",41.227,3.33266082172325
"M212","7",42.152,2.09446159639742
"M213","7",43.106,1.44648536446944
"M214","7",43.765,1.47731933951228
"M215","7",44.343,1.55443125474208
"M216","7",45.207,2.54440626107335
"M217","7",45.563,2.73225087336189
"M218","7",50.575,1.72453784166761
"M219","7",52.991,1.16413116452729
"M220","7",53.409,1.05371340159886
"M221","7",56.054,0.878057079981915
"M222","7",57.549,1.10234645036729
"M223","7",58.34,1.1355033594449
"M224","7",59.362,0.943609489710099
"M225","7",61.383,1.17422731824664
"M226","7",63.158,0.977485301428558
"M227","7",64.558,1.10856919519419
"M228","7",66.3,1.47641128715343
"M229","7",69.56,1.0878464807794
"M230","7",72.518,1.09979845735505
"M231","7",75.122,0.783031004028388
"M232","7",75.171,0.802221169824819
"M233","7",78.974,0.731078115818931
"M234","8",0,0.336577732559306
"M235","8",1.222,0.200536147006886
"M236","8",4.143,0.336169053089108
"M237","8",6.977,0.19613797103348
"M238","8",8.814,0.133719843444652
"M239","8",11.421,0.0554945993300748
"M240","8",13.485,0.140292984311728
"M241","8",15.888,0.257765747855657
"M242","8",18.479,0.145213041811758
"M243","8",20.46,0.261342586468757
"M244","8",22.986,0.136249319653714
"M245","8",25.381,0.19922784023548
"M246","8",27.413,0.0941491227445255
"M247","8",30.401,0.119688148922705
"M248","8",33.375,0.042752009491565
"M249","8",34.254,0.0312907327968048
"M250","8",35.321,0.00401912358324807
"M251","8",38.478,0.0443296757586467
"M252","8",41.572,0.00126002678128145
"M253","8",44.822,0.000837541079633297
"M254","8",45.929,0.151217301049414
"M255","8",48.369,0.165778333081448
"M256","8",49.354,0.200612373361281
"M257","8",51.447,0.0605805420621834
"M258","8",55.801,0.00144315597384548
"M259","8",58.514,0.0307138538110223
"M260","8",61.573,0.0103198053207763
"M261","8",64.593,0.00113626467289407
"M262","8",67.551,0.0290147135356165
"M263","8",67.664,0.0182254295032465
"M264","8",71.037,0.00954775749484327
"M265","8",71.802,0.00158976351983142
"M266","8",74.365,0.0308942957924501
"M267","8",75.127,0.00124684860300306
"M268","8",78.057,0.00168624774811121
"M269","8",80.96,0.0055391946332719
"M270","8",81.492,0.000108483774468482
"M271","8",84.553,0.0429209016944156
"M272","8",87.545,0.112428181596229
"M273","8",90.55,0.00061116226895308
"M274","9",0,0.0318453501876377
"M275","9",1.397,0.183955638755123
"M276","9",2.634,0.15928052423493
"M277","9",4.255,0.102424735826887
"M278","9",7.225,0.222465125957314
"M279","9",10.188,0.170622458500077
"M280","9",13.171,0.170604374086622
"M281","9",16.177,0.0657701802773971
"M282","9",17.02,0.127435562548357
"M283","9",19.812,0.155315888450502
"M284","9",22.816,0.278323427778716
"M285","9",25.91,0.443990388279516
"M286","9",35.622,0.553047335410994
"M287","9",37.875,0.623367690688383
"M288","9",39.38,0.453207106070522
"M289","9",42.115,0.0653201726729122
"M290","9",45.097,0.0611876250369363
"M291","9",48.081,0.00216039536908852
"M292","9",52.736,0.0144999666995886
"M293","9",53.721,0.020951182747055
"M294","9",55.729,0.0586639258483928
"M295","9",56.752,0.0719492732097393
"M296","9",56.755,0.071181001706293
"M297","9",58.139,0.071234045621452
"M298","9",59.946,1.30942528357991e-05
"M299","9",61.615,0.0880230303699818
"M300","9",64.521,0.136960320645599
"M301","9",73.476,0.341884399566595
"M302","9",100.264,0.104746849284595
"M303","10",0,0.0388654941150008
"M304","10",3.354,0.0283077869294317
"M305","10",5.224,0.0497670263596035
"M306","10",7.587,0.00928502877657422
"M307","10",8.572,0.00478881140801946
"M308","10",11.312,0.00397370871068858
"M309","10",14.183,0.0260750019622975
"M310","10",14.989,0.00599800574458698
"M311","10",17.514,0.00117310347835087
"M312","10",20.426,0.0269291310680728
"M313","10",23.381,0.0870052229174689
"M314","10",28.925,0.152223475363371
"M315","10",31.963,0.271508330514237
"M316","10",33.697,0.293596680718622
"M317","10",35.214,0.167694134506476
"M318","10",37.525,0.303770310187915
"M319","10",37.528,0.447694051801179
"M320","10",38.335,0.645909121782339
"M321","10",38.727,0.655116886016813
"M322","10",40.752,0.255811736413889
"M323","10",41.761,0.139459498584188
"M324","10",42.601,0.202972085822765
"M325","10",43.801,0.0579411541472723
"M326","10",45.052,0.0495120022322624
"M327","10",46.54,0.0351162893633301
"M328","10",48.3,0.00806129749102524
"M329","10",51.139,0.0251145110126458
"M330","10",52.268,0.0111649806881218
"M331","10",54.935,0.00307223837600645
"M332","10",57.801,0.0934005363548351
"M333","10",60.662,0.0314537408304858
"M334","10",61.064,0.0294765673650659
"M335","10",62.006,0.0381911992029274
"M336","10",64.546,0.054519375517458
"M337","10",66.481,0.132368046900922
"M338","10",68.27,0.119260227671944
"M339","10",71.419,0.0439467352560712
"M340","10",74.192,0.0413023670669759
"M341","10",77.191,0.114026802092951
"M342","10",80.074,0.366824862338746
"M343","10",82.09,0.581510968132861
"M344","10",83.652,0.56365919673641
"M345","10",86.545,0.373325626666116
"M346","10",89.561,0.53603209745657
"M347","11",0,0.14955172443824
"M348","11",3.219,0.0586323854767272
"M349","11",8.654,0.247743734857394
"M350","11",11.809,0.415266369105055
"M351","11",13.988,0.523066208438692
"M352","11",19.212,0.050398538432944
"M353","11",21.734,0.13250523471801
"M354","11",24.739,0.152348314240996
"M355","11",27.473,0.139931561529991
"M356","11",29.564,0.0584601102359557
"M357","11",29.822,0.0481731719144136
"M358","11",33.084,0.0149626306928781
"M359","11",34.011,0.000939844751798091
"M360","11",36.185,5.07046204489825e-05
"M361","11",39.541,0.108836575700394
"M362","11",42.503,0.306627715633567
"M363","11",45.306,0.246485146627023
"M364","11",47.69,0.133618354473811
"M365","11",47.804,0.120467929493856
"M366","11",52.071,0.0516307268215854
"M367","11",52.072,0.0515318906653022
"M368","11",55.398,0.193254675586815
"M369","11",58.257,0.569452358802224
"M370","11",63.257,0.26087302444428
"M371","11",65.646,0.432346181366398
"M372","11",66.794,0.401817901919202
"M373","11",68.622,0.624549009077882
"M374","11",71.88,0.476301176462869
"M375","11",72.068,0.419749505732767
"M376","11",76.36,0.435232817940062
"M377","11",76.481,0.374966442482616
"M378","11",78.901,0.115232937240933
"M379","11",79.906,0.147047108986769
"M380","11",80.994,0.219159581238131
"M381","11",82.67,0.39730698100449
"M382","11",82.955,0.378419939732652
"M383","11",85.316,0.359172437920776
"M384","11",87.633,0.195036698981554
"M385","11",90.656,0.296077603604047
"M386","11",93.516,0.152988590785213
"M387","11",95.869,0.127826532991378
"M388","11",95.893,0.128398581110545
"M389","11",98.085,0.246394510009807
"M390","11",100.957,0.0801143689741366
"M391","11",103.979,0.000301761731293482
"M392","11",106.787,0.0220609997388692
"M393","11",109.471,0.0208985861299453
"M394","11",112.378,0.000439124875001085
"M395","11",112.988,0.000228056020773693
"M396","11",121.591,3.96862484279836e-05
"M397","11",122.286,0.0433007007151929
"M398","11",124.519,0.0160636318623375
"M399","11",133.307,0.0623727616692662
